Name,Topics,Stars,Commits,Contributors,Releases
Accenture/AmpliGraph,machine-learning::knowledge-graph::relational-learning::representation-learning::graph-representation-learning::graph-embeddings::knowledge-graph-embeddings,1594,947,12,11
quantumlib/Cirq,quantum-circuits::nisq::quantum-algorithms::quantum-computing::cirq,3027,2467,141,16
architecture-building-systems/CityEnergyAnalyst,,112,12712,27,67
GPflow/GPflow,gaussian-processes::tensorflow::gpflow::machine-learning::variational-inference::bayesian-statistics::markov-chain-monte-carlo::stochastic-processes::deep-learning::ml::gp,1507,2236,63,31
hankcs/HanLP,nlp::natural-language-processing::hanlp::pos-tagging::dependency-parser::text-classification::named-entity-recognition::semantic-parsing,23753,1530,33,54
PGM-Lab/InferPy,probabilistic-programming::neural-network::tensorflow::keras-tensorflow::probabilistic-modeling::user-friendly,135,731,3,19
BrikerMan/Kashgari,nlp::sequence-labeling::text-classification::bert-model::ner::machine-learning::nlp-framework::named-entity-recognition::gpt-2::transfer-learning::seq2seq::bert::text-labeling,2184,955,20,24
NTMC-Community/MatchZoo,text::matching::deep-learning::text-matching::neural-network::natural-language-processing,3511,1810,28,2
yitu-opensource/MobileNeXt,,144,9,1,0
OpenNMT/OpenNMT-py,deep-learning::pytorch::machine-translation::neural-machine-translation,5251,2580,159,32
StepNeverStop/RLs,sac::training-agents::reinforcement-learning-algorithm::ml-agents::unity3d::gym::pytorch::deep-reinforcement-learning::reinforcement-learning,320,591,5,0
zhanghang1989/ResNeSt,deep-learning::resnet::resnest::pytorch::detectron-models::split-attention-networks,2870,31,6,6
QData/TextAttack,machine-learning::security::natural-language-processing::nlp::adversarial-machine-learning::adversarial-attacks::data-augmentation::adversarial-examples,1657,2211,36,10
deepmind/acme,reinforcement-learning::agents::research,2317,574,39,8
SeldonIO/alibi-detect,anomaly::outlier::concept-drift::detection::unsupervised-learning::semi-supervised-learning::adversarial::data-drift::drift-detection::time-series::images::tabular-data::text,879,394,10,17
allenai/allennlp,pytorch::nlp::natural-language-processing::deep-learning::data-science::python,10507,2595,241,52
ohtaman/anneal,,19,67,1,0
kearnz/autoimpute,,167,357,6,0
allenai/bilm-tf,,1589,84,4,0
pytorch/captum,interpretability::interpretable-ai::interpretable-ml::feature-importance::feature-attribution,2670,861,67,5
uber/causalml,incubation::machine-learning::causal-inference::uplift-modeling,2282,351,28,5
thinkingmachines/christmAIs,machine-learning::abstract-art::perception::fasttext-embeddings::xmas,86,146,4,1
cleverhans-lab/cleverhans,machine-learning::security::benchmarking,5261,3201,110,8
tensorflow/compression,compression::data-compression::tensorflow::machine-learning::python::deep-learning::deep-neural-networks::neural-network::ml,527,174,7,11
tensorflow/datasets,tensorflow::machine-learning::data::datasets::numpy::jax::dataset,2991,4226,203,18
magenta/ddsp,,1967,396,21,19
deepchem/deepchem,drug-discovery::quantum-chemistry::deep-learning::biology::materials-science::hacktoberfest,3177,7225,115,14
deepmind/deepmind-research,,8118,284,53,0
google-research/disentanglement_lib,,1100,14,1,4
