project,tests,link,status,fix
SeldonIO/alibi-detect,1,https://github.com/SeldonIO/alibi-detect/issues/256,pending,unknown
GPflow/GPflow,1,https://github.com/GPflow/GPflow/pull/1720,pending,tera:manual;flex
danielegrattarola/spektral,1,https://github.com/danielegrattarola/spektral/issues/273,accepted,tera
lmcinnes/umap,1,https://github.com/lmcinnes/umap/pull/773,pending,flex
josejimenezluna/pyGPGO,1,https://github.com/josejimenezluna/pyGPGO/pull/34,pending,tera
learnables/learn2learn,1,https://github.com/learnables/learn2learn/issues/251,pending,tera
lmcinnes/umap,1,https://github.com/lmcinnes/umap/pull/770,pending,flex
Accenture/AmpliGraph,1,https://github.com/Accenture/AmpliGraph/pull/256,pending,refactor-assertion
pytorch/captum,4,https://github.com/pytorch/captum/pull/775,accepted,tera:manual
quantumlib/Cirq,1,https://github.com/quantumlib/Cirq/pull/4531,pending,refactor-test
quantumlib/Cirq,1,https://github.com/quantumlib/Cirq/pull/4534,accepted,flex:manual
snorkel-team/snorkel,1,https://github.com/snorkel-team/snorkel/pull/1666,pending,tera
quantopian/pyfolio,1,https://github.com/quantopian/pyfolio/pull/683,pending,flex
google/TensorNetwork,2,https://github.com/google/TensorNetwork/issues/943,accepted,fix-code
google/TensorNetwork,2,https://github.com/google/TensorNetwork/issues/945,pending,unknown
google/TensorNetwork,1,https://github.com/google/TensorNetwork/issues/946,pending,unknown
pytorch/captum,4,https://github.com/pytorch/captum/pull/780,accepted,tera:manual
pytorch/captum,3,https://github.com/pytorch/captum/pull/781,accepted,tera:manual
snorkel-team/snorkel,1,https://github.com/snorkel-team/snorkel/pull/1671,pending,flex
jettify/pytorch-optimizer,1,https://github.com/jettify/pytorch-optimizer/pull/368,accepted,tera
jettify/pytorch-optimizer,10,https://github.com/jettify/pytorch-optimizer/pull/369,accepted,tera
ziatdinovmax/GPim,1,https://github.com/ziatdinovmax/GPim/issues/34,pending,unknown
google/dopamine,1,https://github.com/google/dopamine/pull/185,pending,refactor-assertion
